,stock,register,city,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,stock_model_chose,register_model_chose,pr_stock
5315,4.29,,嘉峪关市,2014,243.0618,394.0,12761.0,68.0,13.0,24.1,2,11111.0,111111.0,24.489000000000008
5316,15.3838,,宁波市,2002,1500.0,,107643.0,102.0,,546.19,2,1101.0,101101.0,36.832
5317,18.3458,,扬州市,2009,1860.0,1460.0,68328.0,79.0,,458.8,2,1111.0,101111.0,58.57200000000002
5318,10.6649,,乌海市,2008,240.1,507.0,17212.0,75.0,,48.27,2,1111.0,101111.0,12.053
5319,187.9654,,沈阳市,2016,5550.0,6129.0,133998.0,,137.0,734.0,2,10111.0,110111.0,132.086
5320,125.3273,,沈阳市,2013,7160.0,7777.0,134019.0,455.0,66.0,727.1,2,11111.0,111111.0,147.586
5321,12.0935,,乌海市,2009,311.20799999999997,528.0,17244.0,77.0,,48.06,2,1111.0,101111.0,12.11
5322,,,衡水市,2019,1510.0,1172.0,92275.0,76.0,80.0,458.0,2,11111.0,111111.0,59.455000000000005
5323,78.5416,6.8379,平顶山市,2020,2460.0,1557.0,82659.0,73.0,93.0,,2,11111.0,11111.0,61.18900000000001
5324,4.4734,,镇江市,2002,560.8973,,40067.0,72.0,,267.13,2,1101.0,101101.0,12.504000000000001
5325,14.2159,1.9288,焦作市,2007,856.0041,997.0,42535.0,78.0,,357.97,2,1111.0,101111.0,23.061
5326,54.5948,,滨州市,2013,2160.0,1508.0,95543.0,83.0,29.0,381.6,2,11111.0,111111.0,60.958000000000006
5327,,,邯郸市,2014,3080.0,3126.0,126207.0,124.0,103.0,1029.5,2,11111.0,111111.0,81.891
5328,32.2191,,连云港市,2013,1790.0,1748.0,79541.0,150.0,36.0,520.2,2,11111.0,111111.0,54.59599999999999
5329,40.52,,德阳市,2018,2210.0,1038.0,62054.0,89.0,111.0,387.0,2,11111.0,111111.0,59.644000000000005
5330,,,贵阳市,2020,4310.0,3040.0,84634.0,448.0,119.0,,2,11111.0,11111.0,112.81599999999999
5331,34.0836,,营口市,2016,1160.0,1711.0,57859.0,189.0,41.0,233.0,2,11111.0,111111.0,45.400999999999996
5332,142.9899,,合肥市,2016,6270.0,6820.0,120860.0,460.0,166.0,730.0,2,11111.0,111111.0,145.934
5333,23.0031,,营口市,2012,1380.0,731.0,57928.0,110.0,10.0,235.1,2,11111.0,111111.0,36.13000000000001
5334,19.1602,,揭阳市,2012,1400.0,485.0,55845.0,68.0,11.0,673.9,2,11111.0,111111.0,37.82800000000001
5335,37.0235,,枣庄市,2012,1700.0,2351.0,48316.0,146.0,24.0,394.8,2,11111.0,111111.0,47.979
5336,22.9739,,郑州市,2002,928.289,,79577.0,156.0,,649.09,2,1101.0,101101.0,23.21
5337,65.5113,,宁波市,2009,4330.0,2291.0,109932.0,251.0,,571.02,2,1111.0,101111.0,107.48999999999998
5338,34.2362,,南通市,2009,2870.0,1451.0,104673.0,94.0,,762.66,2,1111.0,101111.0,68.696
